file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
ARC-Alkali-Rydberg-Calculator/doc/ARC_3_0_introduction.py;/dynamic/ARC-Alkali-Rydberg-Calculator/DynamicPolarizability;Dynamic Circuit;name;DynamicPolarizability;1.0000;1428
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/dynamic/amazon-braket-algorithm-library/random_circuit;Circuit Construction Utility;name;random_circuit;1.0000;48
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/dynamic/qml/rand_circuit;Circuit Construction Utility;name;random_circuit;0.8845;48
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/dynamic/Cirq/circuit_to_tensors;Quantum Neural Network (QNN);name;circuit_to_tensors;1.0000;59
Cirq/cirq-core/cirq/contrib/quimb/Cirq-to-Tensor-Networks.py;/pennylane/pennylane.templates.subroutines.select.Select;Dynamic Circuit;name;select;1.0000;234
Cirq/cirq-core/cirq/contrib/quimb/Contract-a-Grid-Circuit.py;/dynamic/Cirq/circuit_to_tensors;Quantum Neural Network (QNN);name;circuit_to_tensors;1.0000;178
Cirq/cirq-web/circuit_example.py;/dynamic/amazon-braket-algorithm-library/random_circuit;Circuit Construction Utility;name;random_circuit;1.0000;49
Cirq/cirq-web/circuit_example.py;/dynamic/qml/rand_circuit;Circuit Construction Utility;name;random_circuit;0.8845;49
Cirq/docs/build/classical_control.py;/dynamic/Cirq/defer_measurements;Linear Combination of Unitaries;name;defer_measurements;1.0000;267
Cirq/docs/build/custom_gates.py;/dynamic/pyqtorch/ControlledRotationGate;Quantum Arithmetic;name;RotationGate;0.8926;214
Cirq/docs/build/custom_gates.py;/dynamic/qiskit-nature/num_qubits;Variational Quantum Algorithm (VQA);name;num_qubits;1.0000;243
Cirq/docs/build/operators.py;/dynamic/ProjectQ/FlipBits;Circuit Construction Utility;name;bit_flip;0.9241;229
Cirq/docs/experiments/fourier_checking.py;/qiskit/qiskit.circuit.library.generalized_gates.permutation.Permutation;Circuit Construction Utility;name;permutation;1.0000;144
Cirq/docs/experiments/fourier_checking.py;/dynamic/ProjectQ/MatrixGate;Circuit Construction Utility;name;MatrixGate;1.0000;560
Cirq/docs/experiments/fourier_checking.py;/dynamic/catalyst/oracle;Oracle;name;oracle;1.0000;566
